Song Title,Artist,Creator,Circle Size,Total Notes,Average Interval,Minimum Interval,Maximum Interval,2 Chord,3 Chord,4 Chord,1 Note on Drag,2 Note on Drag,3 Note on Drag,Drag on 1 Drag,Drag on 2 Drag,Drag on 3 Drag,NPM,Difficulty
Fantastic future (TV Size),Tamura Yukari,victorica_db,4,538,209.4688995215311,87,959,301,117,1,119,5,0,19,4,0,366.9849931787176,2.41
Fantastic future (TV Size),Tamura Yukari,victorica_db,4,825,161.24861878453038,87,523,293,222,28,323,33,11,47,5,2,562.7557980900409,3.48
Fantastic future (TV Size),Tamura Yukari,victorica_db,4,319,329.16541353383457,174,1744,215,52,0,32,1,0,15,1,0,217.5989085948158,1.55
unfinished (TV Size),KOTOKO,ljqandylee,4,744,155.09381663113007,68,1233,261,144,65,0,0,0,0,0,0,606.5876725731058,3.18
unfinished (TV Size),KOTOKO,ljqandylee,4,223,333.6651376146789,205,1233,215,4,0,0,0,0,0,0,0,181.81324056962714,1.23
Zhong Ai Qing You (Speed up Version),Leon Lai,Luyuja,4,1043,158.08213820078228,1,1429,511,239,18,37,0,0,18,0,0,499.8961545220712,2.85
Zhong Ai Qing You (Speed up Version),Leon Lai,Luyuja,4,695,182.60542168674698,89,5000,635,30,0,15,0,0,14,0,0,333.1016798868892,2.34
Zhong Ai Qing You (Speed up Version),Leon Lai,Luyuja,4,494,258.14925373134326,178,5000,446,24,0,6,0,0,5,0,0,237.10292858914156,1.69
STILL SPLODIN' THO (Interlude),Anamanaguchi,Liiraye,4,252,230.90438247011951,74,1195,252,0,0,0,0,0,0,0,0,257.9060485108996,3.58
STILL SPLODIN' THO (Interlude),Anamanaguchi,Liiraye,4,418,138.98561151079136,74,597,418,0,0,0,0,0,0,0,0,427.7965407839525,5.28
STILL SPLODIN' THO (Interlude),Anamanaguchi,Liiraye,4,274,229.8095238095238,74,1494,274,0,0,63,0,0,63,0,0,259.2773668522403,5.35
STILL SPLODIN' THO (Interlude),Anamanaguchi,Liiraye,4,187,334.0806451612903,149,1493,187,0,0,14,0,0,14,0,0,178.63966373710355,3.47
STILL SPLODIN' THO (Interlude),Anamanaguchi,Liiraye,4,278,226.48736462093862,73,1195,278,0,0,19,0,0,19,0,0,263.066586758351,4.33
STILL SPLODIN' THO (Interlude),Anamanaguchi,Liiraye,4,236,261.87659574468086,74,1195,236,0,0,13,0,0,13,0,0,227.61248010801947,4.56
Harlem Shake,Baauer,pimpG,4,40,1000.0,214,3429,40,0,0,2,0,0,2,0,0,58.796148852250184,1.7
Harlem Shake,Baauer,pimpG,4,328,172.90128755364807,53,1286,150,76,6,4,3,1,3,2,1,467.4029212682579,2.62
Harlem Shake,Baauer,pimpG,4,102,386.13861386138615,107,3429,102,0,0,2,0,0,2,0,0,149.93017957323795,2.93
Harlem Shake,Baauer,pimpG,4,117,336.2068965517241,107,3429,117,0,0,2,0,0,2,0,0,171.97873539283177,3.54
Harlem Shake,Baauer,pimpG,4,66,600.0,214,3429,66,0,0,2,0,0,2,0,0,97.0136456062128,2.04
Harlem Shake,Baauer,pimpG,4,151,268.5733333333333,53,1714,151,0,0,2,0,0,2,0,0,215.17634485215532,3.44
Harlem Shake,Baauer,pimpG,4,130,312.29457364341084,107,1714,130,0,0,7,0,0,7,0,0,185.2511578197364,3.08
MEPHISTO,LeaF,Alumetorz,4,245,483.844262295082,176,6353,245,0,0,92,0,0,92,0,0,122.99505509676449,2.88
MEPHISTO,LeaF,Alumetorz,4,594,198.93760539629005,88,6000,594,0,0,177,0,0,177,0,0,298.419981746477,5.2
MEPHISTO,LeaF,Alumetorz,4,794,148.7641866330391,88,6000,794,0,0,208,0,0,208,0,0,398.8980900786241,5.84
MEPHISTO,LeaF,Alumetorz,4,432,273.7122969837587,88,6000,432,0,0,108,0,0,108,0,0,217.0327139974378,4.23
MEPHISTO,LeaF,Alumetorz,4,663,178.33534743202418,58,6353,663,0,0,149,0,0,149,0,0,332.83967971083615,4.69
MEPHISTO,LeaF,Alumetorz,4,1076,109.65767441860466,58,1412,1076,0,0,2,0,0,2,0,0,540.9708314828936,5.96
MEPHISTO,LeaF,Alumetorz,4,512,230.68884540117418,88,1412,512,0,0,2,0,0,2,0,0,257.41362985059624,3.59
MEPHISTO,LeaF,Alumetorz,4,845,139.67061611374407,58,1412,845,0,0,2,0,0,2,0,0,424.8330414526441,5.01
Sayonara Trip,Dormir,Simple_Star,4,293,461.06607929515417,225,1805,163,65,0,18,0,0,4,0,0,165.6693210196485,1.42
Sayonara Trip,Dormir,Simple_Star,4,757,186.5632798573975,112,1805,391,147,24,203,0,0,59,0,0,428.02619799274373,2.6
Relic Song,Shouta Kageyama,Leader,4,57,662.125,389,1184,57,0,0,0,0,0,0,0,0,91.38032383904238,1.42
Relic Song,Shouta Kageyama,Leader,4,83,452.1829268292683,97,1184,83,0,0,6,0,0,6,0,0,133.06257681825468,2.48
